fred.date,fred.total_population,fred.median_household_income,fred.median_list_price,fred.median_inventory,fred.median_days_on_market,fred.rental_vacancy_rate,fred.home_ownership_rate,fred.home_value_index,fred.unemployment_rate,fred.building_permits_housing_units,fred.gdp,redfin.period_begin,redfin.period_end,redfin.period_duration,redfin.region_type,redfin.region_type_id,redfin.table_id,redfin.is_seasonally_adjusted,redfin.region,redfin.city,redfin.state,redfin.state_code,redfin.property_type,redfin.property_type_id,redfin.median_sale_price,redfin.median_sale_price_mom,redfin.median_sale_price_yoy,redfin.median_list_price,redfin.median_list_price_mom,redfin.median_list_price_yoy,redfin.median_ppsf,redfin.median_ppsf_mom,redfin.median_ppsf_yoy,redfin.median_list_ppsf,redfin.median_list_ppsf_mom,redfin.median_list_ppsf_yoy,redfin.homes_sold,redfin.homes_sold_mom,redfin.homes_sold_yoy,redfin.pending_sales,redfin.pending_sales_mom,redfin.pending_sales_yoy,redfin.new_listings,redfin.new_listings_mom,redfin.new_listings_yoy,redfin.inventory,redfin.inventory_mom,redfin.inventory_yoy,redfin.months_of_supply,redfin.months_of_supply_mom,redfin.months_of_supply_yoy,redfin.median_dom,redfin.median_dom_mom,redfin.median_dom_yoy,redfin.avg_sale_to_list,redfin.avg_sale_to_list_mom,redfin.avg_sale_to_list_yoy,redfin.sold_above_list,redfin.sold_above_list_mom,redfin.sold_above_list_yoy,redfin.price_drops,redfin.price_drops_mom,redfin.price_drops_yoy,redfin.off_market_in_two_weeks,redfin.off_market_in_two_weeks_mom,redfin.off_market_in_two_weeks_yoy,redfin.parent_metro_region,redfin.parent_metro_region_metro_code,redfin.last_updated
2018-02-01,10519389,60229,260400,41291,81,7.1,63.8,187275,4.3,3379,602366.4,2018-02-01,2018-02-28,30,state,4,21,f,Georgia,,Georgia,GA,All Residential,-1,218100,0.0293780355,0.0818189173,248100,0.0617985523,0.0541536514,109,0.0192583429,0.0777054118,119,0.0329066407,0.0651634517,9498,0.147933285,0.0704384087,7713,0.0877168241,0.1214015702,13861,0.17346766,0.0360266089,37468,0.0276185513,-0.133006294,3.9,-0.5,-1,62,-1,-18,0.9746159939,0.0023243033,0.0038206596,0.1939355654,0.0277523408,0.0307438602,0.1101740152,-0.0071842581,-0.0355127675,0.423026929,0.0865559322,0.0690155265,South Region,,2023-01-15 14:45:07
2018-02-01,4664450,53919,213750,17574,95,10.1,65.7,170263,4.8,988,256677.8,2018-02-01,2018-02-28,30,state,4,39,f,Louisiana,,Louisiana,LA,All Residential,-1,201000,0.0301931283,0.1078518339,219000,0.0217148951,0.0613183358,122,0.0472373465,0.1097490831,127,-0.0120244298,0.0453061661,2077,0.0897166842,-0.0257973734,1172,0.0454950937,-0.0676213206,1627,0.0080545229,0.097100472,8457,0.0223646035,0.0833973866,4.1,-0.2,0.4,98,-2,6,0.9669511338,0.004730035,0.0017838377,0.1102551757,0.0037494045,-0.0224840363,0.1349178196,-0.00954543,0.020646746,0.189147368,0.024269501,-0.037117033,South Region,,2023-01-15 14:45:07
2018-02-01,2982879,46159,181200,10954,110,9.7,72.5,122226,4.9,458,112201.7,2018-02-01,2018-02-28,30,state,4,51,f,Mississippi,,Mississippi,MS,All Residential,-1,168900,0.0471127591,0.0766252629,174700,0.0232799167,-0.013465109,92,0.0114656809,0.0658767197,96,0.0001822008,0.024687937,855,0.1003861004,-0.0382452193,391,0.0155844156,0.1706586826,1145,0.0371376812,-0.0154772141,5760,0.024,-0.0694668821,6.7,-0.5,-0.3,123,15,-28,0.9664732362,0.0043834018,0.0086958547,0.1204678363,0.0020637179,0.0214802097,0.0006944444,-0.0010833333,-0.0023750224,0.0683731898,-0.0156701846,-0.0011820711,South Region,,2023-01-15 14:45:07
2018-02-01,3030725,66749,349894,6285,51,6.2,57.8,268201,4.8,1087,170257.6,2018-02-01,2018-02-28,30,state,4,8,f,Nevada,,Nevada,NV,All Residential,-1,270900,0.0180677889,0.1557922419,286000,0.0291585613,0.1382534785,156,0.0284018398,0.1724218066,164,0.0308027706,0.1594194131,3627,-0.0103683492,0.021978022,2983,0.0772842181,0.2145765472,4959,0.0513037948,0.0446597851,11727,0.0567721006,-0.1865852813,3.2,0.2,-0.9,57,-7,-18,0.9865459264,3.65E-05,0.0062671092,0.2511717673,0.0217038273,0.064076811,0.1147778631,-0.0057051504,-0.0185369736,0.1777591613,0.0250116918,-0.0036265788,West Region,,2023-01-15 14:45:07
2018-02-01,2093754,52096,229000,8646,110,9.1,68,186481,5.1,417,97268,2018-02-01,2018-02-28,30,state,4,14,f,New Mexico,,New Mexico,NM,All Residential,-1,340000,0.0925797822,0.1553790879,329600,0.0641867683,0.0617690293,186,0.0422261348,0.0253478049,190,0.0188187151,-0.0077412208,220,0.0138248848,0.3924050633,132,0.1578947368,0.3469387755,283,0.0801526718,0.0179856115,1105,0.0036330609,-0.1616084977,5,-0.1,-3.3,106,5,-15,0.9701818918,-0.005837184,-0.0001067758,0.0727272727,-0.0332635107,-0.0158803222,0.1022624434,-0.0121789735,0.0142503038,0.2901666672,0.0612317344,-0.0339466449,West Region,,2023-01-15 14:45:07
2018-02-01,10391358,57583,275000,42111,107,7.1,65.2,190527,4.1,3967,567836.2,2018-02-01,2018-02-28,30,state,4,18,f,North Carolina,,North Carolina,NC,All Residential,-1,219900,0.0369217965,0.0829801668,243900,0.0147994983,0.0436297983,114,0.0031655906,0.0557351872,122,0.0163100149,0.0570678971,7853,0.0681447225,0.0582131788,3721,0.1407112201,0.0559023837,12028,0.1519969352,0.0040066778,37864,0.0424823105,-0.0507182791,4.8,-0.1,-0.6,86,2,-5,0.9752482093,0.0019451802,0.001758839,0.2228447727,0.0141940654,0.0211199378,0.0879991549,-0.0038210043,-0.0110807458,0.2377073983,0.0408305747,-0.0028768236,South Region,,2023-01-15 14:45:07
2018-02-01,3943488,58732,180500,16524,80,11.6,69.5,127566,3.6,802,202712.5,2018-02-01,2018-02-28,30,state,4,23,f,Oklahoma,,Oklahoma,OK,All Residential,-1,155500,0.0311569483,0.0402647155,171600,0.0308299312,0.0310163761,89,0.0120256967,0.0188622413,97,0.0097212683,0.0335224987,2653,0.1123689727,0.0793327909,2133,0.0590863952,-0.0255824577,3673,-0.0094390507,-0.0687119675,12147,-0.0109111636,-0.0408243841,4.6,-0.5,-0.6,72,10,6,0.9701939582,0.0037214829,0.0003176601,0.1952506596,0.0082485632,0.006072466,0.1593809171,-0.015849113,-0.0121288744,0.4427144999,0.0598704383,-0.000458062,South Region,,2023-01-15 14:45:07
2018-02-01,5091702,61980,261100,26175,95,11,72,180260,3.7,2446,233251.4,2018-02-01,2018-02-28,30,state,4,30,f,South Carolina,,South Carolina,SC,All Residential,-1,223800,-0.0147476262,0.0544825735,256700,0.0564273713,0.0402665921,128,0.0009274811,0.0428164927,137,0.0328383249,0.0527484939,4177,0.0500251383,0.028817734,2146,0.0209324453,0.084934277,6559,0.1158557332,0.0025985937,23718,0.0556346804,-0.040611601,5.7,0.1,-0.4,96,-1,-11,0.9727225023,0.0009811414,0.0024909775,0.1455590136,0.0133317638,0.0118151713,0.1178851505,0.0043458947,0.0477047444,0.2383177336,0.0364090602,0.0721461161,South Region,,2023-01-15 14:45:07
2018-02-01,6778180,60487,250281,23919,79,8.6,68,178002,3.5,2254,363055.5,2018-02-01,2018-02-28,30,state,4,34,f,Tennessee,,Tennessee,TN,All Residential,-1,222800,0.0267838559,0.0909866113,250700,0.0327383441,0.0721772235,121,0.0043855294,0.0778229144,129,0.0107745093,0.0781067237,5313,0.0636636637,0.0127716355,3743,0.0458228555,0.0768124281,7001,0.1198016635,0.019216771,21182,0.0325631276,-0.0501345291,4,-0.1,-0.3,80,0,-15,0.9764833896,0.0005156029,0.0025940685,0.1895351026,0.0153609284,-0.0047081304,0.1166084411,-0.0024809612,0.0068774994,0.3242418312,0.0652048546,0.0107160285,South Region,,2023-01-15 14:45:07
2018-02-01,28624564,64506,281200,82157,73,8.9,62.7,198966,4,9681,1809396.7,2018-02-01,2018-02-28,30,state,4,36,f,Texas,,Texas,TX,All Residential,-1,236400,0.0411209296,0.047528312,260500,0.0312503822,0.029652775,117,0.0287429506,0.0535199215,125,0.024646684,0.0545488744,18741,0.1672272048,0.0401842704,16744,0.0928790549,-0.009758117,26872,0.0640269254,-0.0211990967,68033,0.0153118331,0.0024016502,3.6,-0.6,-0.2,53,0,2,0.9759865238,0.0022283869,-0.000778632,0.1750173417,0.0146411583,-0.0149143895,0.1892316964,-0.0157021165,-0.0018542031,0.4248162171,0.0792348378,0.0038581833,South Region,,2023-01-15 14:45:07
2018-03-01,4891628,53879,199900,22872,92,13.2,70.3,139624,4,995,223859.3,2018-03-01,2018-03-31,30,state,4,1,f,Alabama,,Alabama,AL,All Residential,-1,184000,0.0261661849,0.0982474686,206200,0.0231944247,0.0241171674,96,0.0280298722,0.0636519184,102,0.0193880708,0.0140462995,4187,0.3809366755,0.0155226777,2373,0.4693498452,0.0776566757,5583,0.2278425335,0.0323594675,18018,0.0432516936,-0.0490315089,4.3,-1.4,-0.3,91,-11,-12,0.9699213723,0.0047557541,0.0058359424,0.1917840936,0.0084067849,0.0227324322,0.0497835498,0.0060107515,-0.00980372,0.1275490225,-0.0245163236,0.0045090942,South Region,,2023-01-15 14:45:07
2018-03-01,7164228,67201,329900,25156,52,6,65.7,235869,4.7,2667,351879.5,2018-03-01,2018-03-31,30,state,4,5,f,Arizona,,Arizona,AZ,All Residential,-1,253700,0.0112511525,0.0960980087,272700,-0.0015317652,0.0731500635,145,0.006659222,0.0880604254,152,0.0037559491,0.0803559089,11725,0.3619467999,0.0223210393,9158,0.2631724138,0.0421028675,13209,0.1720496894,-0.042826087,28116,0.0150913423,-0.1037868163,2.4,-0.8,-0.3,47,-6,-6,0.9825643369,0.0019159513,0.002555711,0.1584648188,0.0133840893,0.0127677222,0.2301892161,0.0258784355,-0.0105668721,0.2706860585,-0.0235773324,-0.0019399278,West Region,,2023-01-15 14:45:07
2018-03-01,3012161,53712,175000,13865,93,9.9,64.7,127330,3.7,839,127535.7,2018-03-01,2018-03-31,30,state,4,7,f,Arkansas,,Arkansas,AR,All Residential,-1,162200,0.0057330582,0.0918990498,178500,0.0551314894,0.0919727595,92,0.0029143959,0.0450663278,99,0.0113746506,0.0624777593,2389,0.3698394495,-0.0292563998,1522,0.4592521572,0.0052840159,3247,0.2849228334,0.0642412324,9460,0.0469234174,-0.0616010316,4,-1.2,-0.1,87,-6,-2,0.9707731237,0.0027422579,0.0033706994,0.1393888656,0.0098017097,0.0219569274,0.093551797,0.0122104956,-0.0115965017,0.2324641513,-0.0081362303,-0.0069937861,South Region,,2023-01-15 14:45:07
