street,city,zip_code,state,property_type,bedrooms,bathrooms,year,land_value,building_value,last_sold_date,last_sale_price
916 24TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1954,82553,239024,4/1/21,320000
911E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1993,66488,103436,4/28/22,289000
909E 26TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1910,64410,231180,7/7/21,365000
914E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1920,68749,249685,5/14/21,325000
916E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1920,72122,282273,11/15/21,392000
920E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,58004,206760,10/21/21,273200
1020E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,1,1925,66202,171512,10/29/21,268500
1010E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1910,122850,226269,11/29/21,369000
1006E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,66202,209099,4/5/21,279900
1004E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1920,66202,116745,9/30/21,210000
3000N 12TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,33390,107369,1/29/21,185000
1015E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,56133,175661,1/28/22,282500
1011E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,56133,211189,8/17/21,279900
1001E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1912,56133,137408,5/20/22,405000
1004E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,5,2,1925,53550,120699,6/6/22,330000
1014E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1920,55613,124082,5/7/21,195000
1019E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1920,37485,142913,5/3/21,215000
1002E 21ST AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1910,53550,78342,10/15/21,150000
1805E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,2,1,1921,41292,134328,1/10/22,100
1808E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,4,2,1945,41292,172639,3/29/21,251000
1814E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,4,3,2021,41292,309068,10/1/21,375000
1911E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,1,2,1950,41292,122684,3/7/22,247000
1905E 23RD AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2021,41292,205706,2/9/21,100
1907E 22ND AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1960,42287,93668,5/12/22,175000
3109N 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1951,59459,100531,7/26/21,196500
3106N 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,3,1927,68851,244336,4/1/22,445000
3105N 17TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1923,82118,73216,12/20/21,189000
3004N 17TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1925,34726,135516,9/28/20,100
3203 SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1928,51450,153369,10/7/21,100
3002 SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,3,2.5,1997,60505,171915,9/14/21,241000
1502E 21ST AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,2006,60505,184294,12/20/21,285000
3012 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1930,51450,95959,7/23/21,165000
3007 SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1927,51450,111080,5/18/22,276000
3009 SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,51450,74077,2/17/22,160000
3015N SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1925,51450,130387,4/26/22,200000
3108 YBOR ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1949,51450,64893,10/15/20,92000
3004 YBOR ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1925,51450,190873,3/16/21,235000
3007 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1925,51450,263279,2/23/21,274900
2927N 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1923,37838,143272,5/28/21,258000
2913N 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,1,1920,54054,203429,3/12/21,219000
2922N 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1920,52500,221139,4/27/21,325000
2910N 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,5,3,1913,52500,284480,12/16/20,300000
2915N 17TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1.5,1952,74812,130623,10/23/20,142000
2904 17TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1951,52500,65349,7/30/20,89000
2922N YBOR ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1925,37485,81324,11/4/20,117000
2907N 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,3,1925,54574,170161,7/22/20,190000
2911N 16TH ST,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,2,1,1915,52500,79217,11/1/21,207000
2917N 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2.5,1925,52500,228984,9/20/21,250000
2918N 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1925,52500,72769,4/8/22,310000
2916N 16TH ST,TAMPA,33605,FL,DUPLEX/TRIPLEX/QUADPLX/ETC,2,2,1925,52500,419149,11/24/21,649000
2901 SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,1925,32582,166079,11/24/21,272500
2925 SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1925,52500,186307,3/3/22,260000
2926 SANCHEZ ST,TAMPA,33605,FL,SINGLE FAMILY,4,3,1926,47722,271283,8/9/21,440000
2909N 15TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,1,1915,52500,184424,9/21/20,100
2921 15TH ST,TAMPA,33605,FL,SINGLE FAMILY,4,2,1919,41097,136418,8/17/21,197000
2923N 15TH ST,TAMPA,33605,FL,SINGLE FAMILY,3,2,1919,41097,168858,1/21/22,275000
2813N 18TH ST,TAMPA,33605,FL,SINGLE FAMILY,10,4,1927,84388,346462,4/14/21,475000
2810 16TH ST,TAMPA,33605,FL,SINGLE FAMILY,2,1,2021,26107,152789,8/25/21,220000
1802E 17TH AVE,TAMPA,33605,FL,SINGLE FAMILY,3,2,1915,46053,120949,12/29/21,200000
